Heart_rate,Max_volume,Min_volume,Endsys_volume,Enddiast_volume,Max_preassure,Min_preassure,Endsys_preassure,Enddiast_preassure,Stroke_vol,Eject_F,Cardiac_output,Stroke_work,Art_elastance,dPdt_max,dPdt_min,dVdt_max,dVdt_min,PdVdt_max,PdPdt_max,VdPdt_max,VdPdt_min,Tau_w,Tau_g,Max_power,PAMP,Group
341,341.11,223.15,242.37,327.04,113.6,-0.52,113.6,6.36,117.96,34.58,40214.07,9748,0.96,5344,-6190,3268,-3710,3.89,51.14,319.94,224.65,10.75,15.12,48.22,4.51,Control
347,344.31,223.15,241.11,322.08,111.69,-1.25,111.69,6.07,121.16,35.19,42021.85,10253,0.92,5689,-7083,4085,-7099,4.03,61.1,325.21,225.97,10.53,13.66,39.06,3.77,Control
347,346.26,226.92,242.81,345.51,110.01,-1.11,109.7,2.95,119.34,34.47,41390.02,9798,0.92,5642,-7366,4267,-7535,-0.64,59,320.19,229.8,9.15,13.86,45.07,3.78,Control
347,346.39,234.14,259.58,345.19,108.09,-1.25,107.71,6.72,112.25,32.41,38929.88,9208,0.96,5266,-6958,4709,-4521,78.95,40.76,331.12,244.88,9.67,14.1,50.09,4.2,Control
343,353.36,222.96,242.12,324.84,112.88,-0.17,112.83,6.35,130.4,36.9,44708.21,10929,0.87,5469,-6504,3771,-7662,3.97,50.67,332.82,224.72,10.62,14.69,53.57,5.08,Control
345,341.17,224.72,241.05,320.82,110.98,-1.25,110.87,6.07,116.45,34.13,40154.54,9973,0.95,5689,-7162,4206,-7033,4.01,55.24,323.9,228.05,10.33,13.41,46.23,4.49,Control
395,511.33,284.72,289.12,510.95,128,1,116.01,5.08,226.6,44.32,89448.1,19764,0.51,10629,-10316,5399,-8794,2.98,67.49,450.53,286.73,8.99,11.95,100.54,3.85,Control
392,510.76,284.16,286.73,496.07,129.98,0.64,118.96,3.39,226.6,44.37,88863.47,19870,0.52,10849,-10786,5586,-10489,0.85,71.52,450.53,287.24,8.56,11.71,101.55,4.13,Control
390,497.64,276.06,281.27,447.7,126.4,-2.63,115.77,1.17,221.58,44.53,86329.23,20249,0.52,10723,-10190,5592,-8540,1.1,71.91,442.87,277.19,7.94,11.92,111.8,5.58,Control
395,446.89,267.52,283.6,442.81,120.4,-2.78,111.78,1.35,179.37,40.14,70805.91,19231,0.62,10425,-9093,7287,-7856,-1.04,70.84,440.48,270.03,7.78,12.99,109.56,5.59,Control
387,499.27,269.28,282.9,499.27,120.54,1.35,111.37,5.82,229.99,46.07,89028.85,18828,0.48,11538,-8246,6089,-9042,1.91,27.87,450.15,270.53,9.41,13.26,108.73,4.36,Control
390,510.51,279.2,289.12,509.89,126.15,1.25,114.72,5.52,231.31,45.31,90121.02,19917,0.5,11068,-9830,6155,-9109,3.39,31.98,469.94,281.52,9.02,12.15,99.62,3.83,Control
392,509.38,283.72,285.73,499.4,129.46,1.14,117.58,5.14,225.66,44.3,88495.58,19669,0.52,10566,-9971,5023,-8413,1.52,75.84,448.33,286.67,8.8,12.18,100.5,4.03,Control
390,498.26,279.77,282.28,461.46,128.68,-2.56,116.9,1.38,218.5,43.85,85128.97,20296,0.54,10676,-10519,5405,-8734,2.96,74.07,446.2,281.33,7.82,12.13,100.11,4.7,Control
390,462.53,264.38,275.31,438.98,122.75,-3.07,113.27,1.33,198.15,42.84,77201.11,19949,0.57,10880,-10049,8098,-7535,105.51,25.79,443.37,265.57,7.7,11.99,111.21,5.77,Control
392,493.43,272.86,291.7,493.11,119.11,0.42,111.78,5.72,220.57,44.7,86499.48,17894,0.51,11664,-9281,7602,-8352,1.08,28.53,446.01,274.99,8.9,12.53,117.65,4.84,Control
390,508.12,276.12,288.12,507.87,124.54,1.38,112.98,5.61,232,45.66,90389.84,21186,0.49,11005,-9563,5653,-7093,3.68,37.22,472.89,276.94,9.27,12.3,113.02,4.38,Control
390,509.13,282.47,284.6,502.34,128.07,0.96,114.79,5.19,226.66,44.52,88310.02,19712,0.51,10723,-10253,6028,-10047,3.02,71.42,449.09,286.11,8.85,11.98,100.13,3.97,Control
392,502.34,280.64,284.72,488.15,128.88,0.16,117.19,2.6,221.7,44.13,86940.95,19760,0.53,10645,-10519,6470,-8231,0.44,68.7,447.39,282.15,8.34,11.79,98.98,4.15,Control
392,487.09,272.17,280.96,442.75,124.35,-2.62,113.94,0.92,214.92,44.12,84282.64,19637,0.53,10739,-10284,10804,-8667,102.34,30.1,455.62,272.61,7.84,11.93,103.28,5.27,Control
392,443.87,263.63,269.71,442.81,118.27,-2.7,104.72,1.82,180.25,40.61,70684.91,18942,0.58,11193,-9046,7039,-7348,-1.65,28.16,439.92,266.83,7.93,13.23,106.89,5.45,Control
387,500.21,269.02,286.93,500.21,120.31,1.55,111.31,5.77,231.18,46.22,89490.4,19352,0.48,11883,-8372,5023,-9357,8.68,32.95,452.98,270.72,9.46,13.88,102.5,4.1,Control
